IdAgente,Sigla,CodFormaContato,DescRca,Ano,Mes,QtdRecebidas,QtdRecebidasImprocedentes,QtdRecebidasProcedentes,QtdSemProcedencia,QtdAndamento,Dia,Intervalo
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,0
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,1
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,2
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,3
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,4
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,5
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,6
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,7
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,8
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,9
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,10
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,11
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,12
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,13
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,14
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,15
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,16
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,17
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,18
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,19
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,20
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,21
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,22
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,23
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,24
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,25
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,26
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,27
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,28
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,29
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,30
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,31
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,32
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,33
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,34
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,35
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,36
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,37
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,38
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,39
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,40
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,41
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,42
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,43
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,44
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,45
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,46
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,1,47
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,0
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,1
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,2
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,3
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,4
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,5
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,6
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,7
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,8
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,9
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,10
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,11
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,12
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,13
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,14
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,15
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,16
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,17
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,18
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,19
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,20
63,CPFL Paulista,1,Bandeiras Tarifárias,2023,1,0,0,0,0,0,2,21
